vente_id;date_mutation;nature_mutation;valeur_fonciere
509;2020-05-18 00:00:00;Vente;81200
510;2020-05-29 00:00:00;Vente;148000
511;2020-05-22 00:00:00;Vente;46780
512;2020-06-10 00:00:00;Vente;233400
513;2020-05-15 00:00:00;Vente;165000
514;2020-06-05 00:00:00;Vente;55000
515;2020-06-06 00:00:00;Vente;34500
516;2020-06-03 00:00:00;Vente;125000
517;2020-06-09 00:00:00;Vente;144000
518;2020-06-19 00:00:00;Vente;179000
519;2020-06-05 00:00:00;Vente;181000
520;2020-06-08 00:00:00;Vente;278800
521;2020-06-05 00:00:00;Vente;220000
522;2020-06-05 00:00:00;Vente;136000
523;2020-06-23 00:00:00;Vente;30000
524;2020-06-08 00:00:00;Vente;85000
525;2020-05-29 00:00:00;Vente;39000
526;2020-06-23 00:00:00;Vente;19800
527;2020-06-26 00:00:00;Vente;21000
528;2020-06-15 00:00:00;Vente;202000
529;2020-06-12 00:00:00;Vente;44600
530;2020-06-15 00:00:00;Vente;39000
531;2020-06-05 00:00:00;Vente;212000
532;2020-06-06 00:00:00;Vente;152600
533;2020-06-06 00:00:00;Vente;66500
534;2020-06-06 00:00:00;Vente;69000
535;2020-06-29 00:00:00;Vente;76000
536;2020-06-15 00:00:00;Vente;51500
537;2020-06-26 00:00:00;Vente;141500
538;2020-06-15 00:00:00;Vente;153000
539;2020-06-24 00:00:00;Vente;85700
540;2020-06-23 00:00:00;Vente;19000
541;2020-06-15 00:00:00;Vente;190000
542;2020-06-22 00:00:00;Vente;202100
543;2020-06-30 00:00:00;Vente;64600
544;2020-06-29 00:00:00;Vente;90250
545;2020-01-03 00:00:00;Vente;616900
546;2020-01-03 00:00:00;Vente;212550
547;2020-01-02 00:00:00;Vente;229500
548;2020-01-13 00:00:00;Vente;191500
549;2020-01-13 00:00:00;Vente;140650
550;2020-01-10 00:00:00;Vente;228500
551;2020-01-15 00:00:00;Vente;112070
552;2020-01-06 00:00:00;Vente;212200
553;2020-01-14 00:00:00;Vente;195500
554;2020-01-10 00:00:00;Vente;158525
555;2020-01-16 00:00:00;Vente;171700
556;2020-01-08 00:00:00;Vente;340750
557;2020-01-09 00:00:00;Vente;179000
558;2020-01-09 00:00:00;Vente;121300
559;2020-01-03 00:00:00;Vente;317800
560;2020-01-10 00:00:00;Vente;262089
561;2020-01-09 00:00:00;Vente;314600
562;2020-01-17 00:00:00;Vente;767000
563;2020-01-17 00:00:00;Vente;116260
564;2020-01-10 00:00:00;Vente;414000
565;2020-01-14 00:00:00;Vente;413826
566;2020-01-20 00:00:00;Vente;327500
567;2020-01-06 00:00:00;Vente;643815
568;2020-01-14 00:00:00;Vente;652000
569;2020-01-20 00:00:00;Vente;113700
570;2020-01-17 00:00:00;Vente;1320000
571;2020-01-17 00:00:00;Vente;483314
572;2020-02-03 00:00:00;Vente;178140
573;2020-01-20 00:00:00;Vente;118110
574;2020-01-28 00:00:00;Vente;622850
575;2020-01-24 00:00:00;Vente;137009
576;2020-01-24 00:00:00;Vente;114500
577;2020-01-31 00:00:00;Vente;50925
578;2020-01-24 00:00:00;Vente;1852500
579;2020-01-24 00:00:00;Vente;233470
580;2020-02-07 00:00:00;Vente;151500
581;2020-01-21 00:00:00;Vente;117800
582;2020-02-05 00:00:00;Vente;1022000
583;2020-01-31 00:00:00;Vente;200150
584;2020-01-24 00:00:00;Vente;121900
585;2020-02-14 00:00:00;Vente;294000
586;2020-01-27 00:00:00;Vente;301150
587;2020-02-06 00:00:00;Vente;78500
588;2020-01-30 00:00:00;Vente;376150
589;2020-01-24 00:00:00;Vente;199500
590;2020-02-05 00:00:00;Vente;149870
591;2020-02-06 00:00:00;Vente;107600
592;2020-02-05 00:00:00;Vente;228800
593;2020-02-06 00:00:00;Vente;151592
594;2020-02-06 00:00:00;Vente;417000
595;2020-02-14 00:00:00;Vente;130940
596;2020-02-13 00:00:00;Vente;397400
597;2020-02-12 00:00:00;Vente;77000
598;2020-02-13 00:00:00;Vente;291550
599;2020-02-12 00:00:00;Vente;262580
600;2020-01-30 00:00:00;Vente;1196000
601;2020-02-10 00:00:00;Vente;325100
602;2020-01-30 00:00:00;Vente;148113
603;2020-02-04 00:00:00;Vente;142000
