cadastre_id;code_type_voie;code_voie;code_id_commune;prefixe_section;section;numero_plan;nature_culture;nature_culture_speciale;surface_terrain
538;8;B193;121;;L;729;;;
539;4;820;120;;CL;85;;;
540;23;24;111;;ZC;245;;;
541;8;B107;141;;XB;99;;;
542;0;368;124;;AD;222;;;
543;8;B113;127;;AA;106;;;
544;8;B134;124;;AB;439;;;
545;0;5600;142;;LA;312;;;
546;0;3535;142;;LB;299;;;
547;0;3975;142;;LS;169;;;
548;15;4685;143;;IM;507;;;
549;0;3535;142;;LB;299;;;
550;0;3235;142;;KY;164;;;
551;0;1000;142;;KV;82;;;
552;0;2985;142;;KY;138;;;
553;1;1805;144;;LO;467;;;
554;0;405;142;;LB;350;;;
555;15;6285;143;;KL;40;;;
556;1;6715;142;;LS;95;;;
557;24;28;145;;AL;26;;;
558;0;4035;143;;IR;740;;;
559;1;6575;144;;LP;2;;;
560;1;5435;143;;KO;17;;;
561;15;6285;143;;KM;11;;;
562;0;2505;142;;LC;346;;;
563;1;2870;142;;LP;82;;;
564;0;6275;142;;LB;257;;;
565;0;4020;142;;KT;20;;;
566;0;3970;143;;IW;257;;;
567;15;1410;142;;LE;363;;;
568;8;B025;143;;IT;73;;;
569;0;1286;143;;IR;180;;;
570;15;4350;143;;KI;224;;;
571;0;4020;142;;KV;14;;;
572;15;6285;143;;KM;58;;;
573;15;465;144;;LO;315;;;
574;0;610;143;;KO;23;;;
575;14;1920;142;;LE;334;;;
576;0;1180;143;;KO;282;;;
577;0;780;143;;KR;118;;;
578;0;4585;143;;KS;11;;;
579;0;780;143;;KR;39;;;
580;0;390;143;;IX;147;;;
581;0;6620;142;;KY;265;;;
582;0;1785;142;;KV;42;;;
583;15;1265;144;;ED;299;;;
584;0;4090;143;;KR;274;;;
585;1;485;146;;AC;49;;;
586;0;6635;142;;LS;292;;;
587;0;3472;142;;HD;228;;;
588;0;2950;142;;LC;218;;;
589;0;455;143;;IW;207;;;
590;1;4915;142;;LE;240;;;
591;15;2828;143;;IW;251;;;
592;14;1440;144;;EB;180;;;
593;0;4120;142;;LB;474;;;
594;0;2295;143;;KO;257;;;
595;0;6620;142;;KY;123;;;
596;0;3080;142;;LC;321;;;
597;5;80;146;;BA;312;;;
598;23;2680;142;;LK;268;;;
599;15;3475;142;;LT;47;;;
600;15;6655;142;;KY;273;;;
601;0;3615;142;;LB;49;;;
602;0;1820;142;;LT;421;;;
603;1;200;146;;BA;33;;;
604;0;70;146;;AE;246;;;
605;1;3240;143;;KC;34;;;
606;11;4447;143;;KM;59;;;
607;0;555;143;;IX;47;;;
608;0;60;143;;IR;422;;;
609;0;6455;142;;LS;272;;;
610;0;2950;142;;LC;224;;;
611;0;4310;142;;LB;53;;;
612;0;10;143;;KR;188;;;
613;15;3475;142;;LT;73;;;
614;0;6065;143;;KR;158;;;
615;0;6235;143;;IX;168;;;
616;15;5485;143;;IX;184;;;
617;1;6575;144;;LM;160;;;
618;1;6705;142;;LR;8;;;
619;0;5600;142;;KY;140;;;
620;15;2610;143;;KL;163;;;
621;15;1265;144;;ED;235;;;
622;0;1180;143;;KO;322;;;
623;5;365;146;;BA;421;;;
624;1;5383;142;;LR;172;;;
625;0;5975;143;;KR;236;;;
626;1;445;144;;LN;328;;;
627;1;910;144;;LO;716;;;
628;0;3115;142;;LC;312;;;
629;15;2610;143;;KL;172;;;
630;0;885;143;;KO;92;;;
631;15;220;145;;AH;331;;;
632;0;1885;142;;LD;28;;;
633;0;3535;142;;LB;299;;;
634;15;759;146;;BB;27;;;
635;15;350;146;;AE;347;;;
636;15;5485;143;;IY;263;;;
637;1;3372;142;;LA;157;;;
638;15;2755;142;;KY;294;;;
639;0;6620;142;;KY;161;;;
640;0;6245;144;;LO;702;;;
641;1;290;142;;LE;466;;;
642;1;6290;144;;ED;252;;;
643;1;1915;142;;LB;78;;;
644;5;1760;143;;KI;21;;;
645;15;2102;142;;LB;183;;;
646;0;4940;142;;LD;93;;;
647;0;850;144;;LN;585;;;
648;1;950;144;;HI;100;;;
649;1;2880;142;;KY;93;;;
650;3;6480;143;;HY;34;;;
651;0;5205;143;;KS;183;;;
652;1;2910;143;;IR;350;;;
653;0;4805;144;;LO;500;;;
654;0;5600;142;;KY;184;;;
655;12;2785;143;;KO;35;;;
656;1;5805;142;;LD;58;;;
657;0;3573;143;;IV;321;;;
658;0;3255;142;;LC;97;;;
659;0;4020;142;;KV;118;;;
660;0;405;142;;LB;50;;;
661;0;6255;143;;IR;7;;;
662;12;630;146;;AE;306;;;
663;0;5240;143;;KR;236;;;
664;0;5240;143;;KR;236;;;
665;0;1655;142;;KV;151;;;
666;0;1470;142;;LT;150;;;
667;0;5195;143;;KS;79;;;
668;1;4275;142;;LS;143;;;
669;15;2102;142;;LB;494;;;
670;0;2280;142;;LB;291;;;
671;0;390;143;;IX;158;;;
672;0;3970;143;;IW;278;;;
673;5;103;147;;AD;224;;;
674;0;5460;143;;IX;245;;;
675;0;5640;142;;LA;198;;;
676;0;60;143;;IR;422;;;
677;15;360;143;;IV;440;;;
678;15;6285;143;;KL;41;;;
679;0;5570;143;;IR;513;;;
680;0;6620;142;;KY;174;;;
681;1;5420;144;;EB;96;;;
682;0;2295;143;;KO;213;;;
683;0;885;143;;KO;161;;;
684;1;4025;142;;LI;246;;;
685;0;6455;142;;LT;206;;;
686;1;6490;143;;IZ;141;;;
687;0;1865;143;;IX;194;;;
688;0;456;143;;IW;344;;;
689;15;2970;144;;EC;354;;;
690;0;3810;142;;KT;224;;;
691;15;350;146;;AE;233;;;
692;15;2828;143;;IW;173;;;
693;0;3090;142;;KY;217;;;
694;0;2510;143;;IY;234;;;
695;0;715;142;;LA;106;;;
696;15;2828;143;;IX;89;;;
697;0;790;142;;KY;144;;;
698;0;2895;143;;IX;86;;;
699;15;2102;142;;LB;424;;;
700;1;4025;142;;HD;71;;;
701;0;6665;142;;LA;284;;;
702;0;790;142;;KY;251;;;
703;24;28;145;;AK;126;;;
704;3;6480;143;;IP;113;;;
705;15;350;146;;AE;347;;;
706;1;3000;144;;EI;39;;;
707;0;3090;142;;KY;33;;;
708;12;3160;143;;KN;19;;;
709;0;3535;142;;LB;256;;;
710;1;1130;142;;LP;39;;;
711;0;5635;143;;KO;147;;;
712;25;3697;142;;HB;81;;;
713;15;5485;143;;IY;247;;;
714;0;3975;142;;LS;194;;;
715;0;2495;143;;KO;190;;;
716;26;A100;143;;KP;115;;;
717;0;6455;142;;KZ;18;;;
718;0;1970;142;;LS;172;;;
719;0;2495;143;;KO;190;;;
720;15;1410;142;;HB;35;;;
721;5;1760;143;;KI;57;;;
722;15;2610;143;;KL;162;;;
723;15;5345;142;;LB;22;;;
724;15;2828;143;;IX;151;;;
725;0;3505;143;;KS;84;;;
726;8;B033;147;;AN;144;;;
727;0;3255;142;;LC;83;;;
728;0;6710;142;;LS;410;;;
729;0;625;142;;KV;174;;;
730;27;A040;144;;EI;93;;;
731;1;4015;142;;LB;139;;;
732;0;402;146;;AZ;63;;;
733;0;2295;143;;KM;44;;;
734;1;5435;143;;IX;272;;;
735;0;2625;142;;HD;10;;;
736;0;2595;142;;KV;247;;;
737;15;2828;143;;IY;51;;;
738;1;2125;142;;LA;437;;;
739;1;1360;144;;EC;80;;;
740;0;27;143;;IY;89;;;
741;0;2950;142;;LC;224;;;
742;15;860;146;;AZ;26;;;
743;0;1590;143;;KR;218;;;
744;15;2755;142;;LT;85;;;
745;0;790;142;;KY;226;;;
746;1;280;142;;HD;204;;;
747;0;4085;143;;KO;255;;;
748;1;3240;143;;KC;34;;;
749;1;4525;142;;LB;102;;;
750;24;4680;143;;KM;45;;;
751;0;4850;142;;LC;100;;;
752;1;3240;143;;KC;34;;;
753;15;2102;142;;LB;422;;;
754;1;5471;144;;EV;122;;;
755;28;6770;142;;HD;243;;;
756;15;2102;142;;LB;494;;;
757;1;1010;144;;EB;126;;;
758;1;4015;142;;LB;175;;;
759;0;1655;142;;KT;213;;;
760;10;3579;144;;HA;205;;;
761;1;5420;144;;EB;76;;;
762;1;6005;144;;HE;8;;;
763;1;950;144;;HB;155;;;
764;5;80;146;;BA;354;;;
765;22;240;142;;KV;332;;;
766;0;1000;142;;KV;206;;;
767;0;2950;142;;LC;158;;;
768;0;1275;143;;IW;95;;;
769;0;558;143;;IW;109;;;
770;10;305;146;;AC;102;;;
771;1;2740;144;;LN;86;;;
772;15;3820;142;;MR;63;;;
773;22;240;148;;MP;280;;;
774;1;1810;144;;LX;575;;;
775;1;1715;148;;CE;100;;;
776;0;1790;144;;LW;118;;;
777;1;2955;148;;MP;304;;;
778;1;1805;144;;EA;238;;;
779;1;6035;148;;OL;17;;;
780;1;660;142;;MO;121;;;
781;0;3730;148;;NY;274;;;
782;0;1365;142;;KX;9;;;
783;0;1005;142;;KX;120;;;
