adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
364;;STATION DE SAINT JEAN;4140;MONTCLAR;4
365;;LES SAGNES;4140;SEYNE;4
366;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
367;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
368;RUE;DU FRESQUIE;4300;FORCALQUIER;4
369;RES;LE CEZANNE;4800;GREOUX-LES-BAINS;4
370;ALL;DE PROVENCE;4100;MANOSQUE;4
371;TRA;DES EAUX CHAUDES;4000;DIGNE-LES-BAINS;4
372;RTE;DU LAC;4160;L ESCALE;4
373;;LES VIEUX BAINS;4800;GREOUX-LES-BAINS;4
374;RUE;NATIONALE;4120;CASTELLANE;4
375;RES;LE CHRISTIANA;4400;UVERNET-FOURS;4
376;RUE;GRANDE;4180;VILLENEUVE;4
377;BD;PAUL MARTIN NALIN;4100;MANOSQUE;4
378;RUE;DE L ANCIENNE MAIRIE;4000;DIGNE-LES-BAINS;4
379;;LA COLETTE;4100;MANOSQUE;4
380;;MAZAGRAND;4850;JAUSIERS;4
381;;LA COLETTE;4100;MANOSQUE;4
382;MTE;DU CHASTEL;4850;JAUSIERS;4
383;AV;DES THERMES;4000;DIGNE-LES-BAINS;4
384;RES;LA BERANGERE;4400;UVERNET-FOURS;4
385;AV;GEORGES DE SALVE;4210;VALENSOLE;4
386;AV;DES ARCADES;4200;SISTERON;4
387;CHE;DES AJONCS;4000;DIGNE-LES-BAINS;4
388;AV;JEAN MOULIN;4200;SISTERON;4
389;RUE;DES ALPES;4100;MANOSQUE;4
390;CHE;DES SALETTES;4160;CHATEAU-ARNOUX-SAINT-AUBAN;4
391;;CHANTEMERLE;4140;SEYNE;4
392;RES;LA PETITE OURSE 2;4260;ALLOS;4
393;RUE;DE L HUBAC;4000;DIGNE-LES-BAINS;4
394;RES;L EDELWEISS;4400;UVERNET-FOURS;4
395;AV;SAINT PROMASSE;4300;FORCALQUIER;4
396;CHE;DU LAC;4160;CHATEAU-ARNOUX-SAINT-AUBAN;4
397;RUE;DE LA REPUBLIQUE;4290;VOLONNE;4
398;RUE;GRENETTE;4400;BARCELONNETTE;4
399;RUE;LOUIS ANDRIEUX;4300;FORCALQUIER;4
400;RUE;PIERRE MAITRE;4220;SAINTE-TULLE;4
401;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
402;RLE;DES PRISONS;4300;FORCALQUIER;4
403;RUE;DE L ARMISTICE;4100;MANOSQUE;4
404;RES;LE SCHUSS 3;4260;ALLOS;4
